t,schedule_1,schedule_2,gamma_1,gamma_2,C,criterion_positive,numerical_integrable,analytic_logZ_relative_error
0.11322210842282328,polynomial,linear,2.0924042183036358,-1.1744667844096757,0.6535798407786024,True,True,0.0
0.6835972487871987,sigmoid,ddpm,2.533175598000681,-2.7818889431943044,-13.649467445049476,False,False,
0.10219080013611848,polynomial,cosine,1.8590624786635572,-2.8376810594694204,-1.013566607846857,False,False,
0.2405244964820472,ddpm,ddpm,2.6435106914689235,-0.5839639382636609,2.7796527974680583,True,True,2.722632847842561e-16
0.4381497769581268,linear,polynomial,2.6579473058747163,-1.8536530506227293,5.580777791466876,True,True,1.873021049611105e-15
0.6177516092594001,linear,ddpm,0.5707991778636574,-0.8107081912489098,-1.6756754781322303,False,False,
0.8846682710209841,sigmoid,cosine,2.038462778703135,-1.4591938856547086,79.4568605436819,True,True,1.750217568727774e-16
0.41113713918328304,cosine,ddpm,2.213854961201737,-2.1261481906695407,-1.5607784143628014,False,False,
0.3481935004471646,cosine,sigmoid,0.8377412625560281,-2.3037208504852043,-1.24482749436312,False,False,
0.3862361573672562,linear,cosine,1.7145883970794726,-2.7237195858725007,0.5159083898353414,True,True,0.0
0.3703289804057066,ddpm,sigmoid,1.9288245768244023,-1.3046734776898554,2.507709468021936,True,True,0.0
0.598549715748834,polynomial,polynomial,1.479047501320403,-2.725685880011981,-3.0270852932337404,False,False,
0.29149555439436176,sigmoid,ddpm,0.710038358955962,-2.5816103691334944,-3.2778869682427314,False,False,
0.22022357351587127,ddpm,polynomial,2.6912105770267596,-0.6464200870129859,2.7495119443239786,True,True,2.686715778853367e-16
0.14161704085152768,ddpm,polynomial,1.6258484166232174,-2.490810675718236,-0.7846044281641038,False,False,
0.5642659087894806,cosine,linear,1.5113795995538206,-0.9962826112731383,-1.4663966150175027,False,False,
0.8536904884051983,cosine,linear,1.2467403320473065,-2.1799871948908986,-77.8134484055696,False,False,
0.841723642454294,sigmoid,ddpm,1.4127754206120713,-0.7637381989255738,24.978469791208852,True,True,0.0
0.44018289987926046,linear,sigmoid,1.60094288678946,-2.8864762342268433,1.6891405813271683,True,True,1.690278142309779e-16
0.46803611144727686,ddpm,cosine,2.0505336300384447,-2.9877412630883105,0.811057839540088,True,True,2.169153195300165e-16
0.7286285605710461,sigmoid,sigmoid,2.3943221132707286,-1.7435567387190474,6.5764227367987615,True,True,4.107305928547298e-15
0.8456477492907026,ddpm,ddpm,1.536639623389177,-2.3362089294718236,-29.26297017811779,False,False,
0.8743409519397172,cosine,cosine,0.7873315832022629,-2.3225377926907735,-39.919668159698624,False,False,
0.8657681436887709,linear,cosine,0.5367657624134232,-2.6591002256139395,-30.915461964048887,False,False,
0.7578990620344563,polynomial,cosine,0.8719100305812448,-2.9315720345573872,-16.462945401656505,False,False,
0.8388241278267756,cosine,cosine,1.6999698095195805,-1.0809322990982597,9.866794802560271,True,True,1.2300331954182828e-16
0.844813852784924,ddpm,sigmoid,1.1653256807307315,-1.8473360190554673,-28.17735300488286,False,False,
